rel_path,newsID,newsCategory,partNum,useType,processType,clickbaitClass_raw,y_true_clickbait,p_clickbait,y_pred_clickbait,conf_llm
EC_M02_000614_L.json,EC_M02_000614,EC,P1,0,A,0,1,0.00070953369140625,0,1.0
EC_M02_000620_L.json,EC_M02_000620,EC,P1,0,A,0,1,0.0002956390380859375,0,1.0
EC_M02_000892_L.json,EC_M02_000892,EC,P1,0,A,0,1,0.0002613067626953125,0,1.0
EC_M02_000925_L.json,EC_M02_000925,EC,P1,0,A,0,1,4.5299530029296875e-05,0,1.0
EC_M02_001144_L.json,EC_M02_001144,EC,P1,0,A,0,1,0.0179443359375,0,0.98046875
EC_M02_001757_L.json,EC_M02_001757,EC,P1,0,A,0,1,0.000335693359375,0,1.0
EC_M02_001885_L.json,EC_M02_001885,EC,P1,0,A,0,1,0.0001583099365234375,0,1.0
EC_M02_001929_L.json,EC_M02_001929,EC,P1,0,A,0,1,0.000335693359375,0,1.0
EC_M02_002458_L.json,EC_M02_002458,EC,P1,0,A,0,1,0.0001583099365234375,0,1.0
EC_M02_002599_L.json,EC_M02_002599,EC,P1,0,A,0,1,0.00048828125,0,1.0
EC_M02_002645_L.json,EC_M02_002645,EC,P1,0,A,0,1,0.0006256103515625,0,1.0
EC_M02_002761_L.json,EC_M02_002761,EC,P1,0,A,0,1,8.487701416015625e-05,0,1.0
EC_M02_002827_L.json,EC_M02_002827,EC,P1,0,A,0,1,0.00020313262939453125,0,1.0
EC_M02_003480_L.json,EC_M02_003480,EC,P1,0,A,0,1,0.0001087188720703125,0,1.0
EC_M02_003594_L.json,EC_M02_003594,EC,P1,0,A,0,1,0.00048828125,0,1.0
EC_M02_004055_L.json,EC_M02_004055,EC,P1,0,A,0,1,3.123283386230469e-05,0,1.0
EC_M02_004118_L.json,EC_M02_004118,EC,P1,0,A,0,1,0.0001087188720703125,0,1.0
EC_M02_004159_L.json,EC_M02_004159,EC,P1,0,A,0,1,0.000179290771484375,0,1.0
EC_M02_004206_L.json,EC_M02_004206,EC,P1,0,A,0,1,0.00014019012451171875,0,1.0
EC_M02_004323_L.json,EC_M02_004323,EC,P1,0,A,0,1,0.000431060791015625,0,1.0
EC_M02_004454_L.json,EC_M02_004454,EC,P1,0,A,0,1,8.487701416015625e-05,0,1.0
EC_M02_004516_L.json,EC_M02_004516,EC,P1,0,A,0,1,0.029296875,0,0.96875
EC_M02_004814_L.json,EC_M02_004814,EC,P1,0,A,0,1,0.00012302398681640625,0,1.0
EC_M02_005118_L.json,EC_M02_005118,EC,P1,0,A,0,1,0.00048828125,0,1.0
EC_M02_005262_L.json,EC_M02_005262,EC,P1,0,A,0,1,0.000553131103515625,0,1.0
EC_M02_005584_L.json,EC_M02_005584,EC,P1,0,A,0,1,0.000553131103515625,0,1.0
EC_M02_005617_L.json,EC_M02_005617,EC,P1,0,A,0,1,5.14984130859375e-05,0,1.0
EC_M02_005736_L.json,EC_M02_005736,EC,P1,0,A,0,1,0.0006256103515625,0,1.0
EC_M02_155979_L.json,EC_M02_155979,EC,P1,0,D,0,1,0.004058837890625,0,0.99609375
EC_M02_156425_L.json,EC_M02_156425,EC,P1,0,D,0,1,0.000179290771484375,0,1.0
EC_M02_157622_L.json,EC_M02_157622,EC,P1,0,D,0,1,0.00170135498046875,0,1.0
EC_M02_157717_L.json,EC_M02_157717,EC,P1,0,D,0,1,0.033203125,0,0.96875
EC_M02_157777_L.json,EC_M02_157777,EC,P1,0,D,0,1,0.037353515625,0,0.9609375
EC_M02_157920_L.json,EC_M02_157920,EC,P1,0,D,0,1,0.00020313262939453125,0,1.0
EC_M02_157954_L.json,EC_M02_157954,EC,P1,0,D,0,1,0.00170135498046875,0,1.0
EC_M02_158085_L.json,EC_M02_158085,EC,P1,0,D,0,1,0.0002307891845703125,0,1.0
EC_M02_160463_L.json,EC_M02_160463,EC,P1,0,D,0,1,0.010986328125,0,0.98828125
EC_M02_160496_L.json,EC_M02_160496,EC,P1,0,D,0,1,0.00592041015625,0,0.9921875
